VendorID,ProductID,Price,DeliveryDays,OnTimeDeliveryRate,OrderAccuracyRate,ResponseTime,ReliabilityScore
Vendor1,Product1,106.18101782710437,14,83.66869579732328,97.79691000272769,30.664556791698942,-0.28302376209824665
Vendor1,Product2,116.87491292803867,7,89.18497783931734,93.33708611139022,11.143273170643454,-0.3778146910551842
Vendor1,Product3,147.63327094232793,14,99.39819704323989,98.32442640800421,14.130581759165874,-0.13967259491561868
Vendor1,Product4,77.2737450810651,14,92.34963019255433,96.11653160488281,5.303851124447848,-0.4497904931587722
Vendor1,Product5,53.45936375621236,7,92.23705789444759,91.39493860652041,17.56221988701438,-0.6144680983784665
Vendor1,Product6,104.95427649405376,7,87.64923982534326,99.83230885806788,25.070804409663136,-0.3913957558991552
Vendor1,Product7,178.99106101044808,14,89.00998503939086,90.13264961159867,45.51467549444867,0.04426072945546777
Vendor1,Product8,134.4932326768309,5,86.09227538346741,90.97672114006384,34.422020140022745,-0.28475040341523405
Vendor1,Product9,116.0228740609402,10,89.9035382022254,90.34388521115218,44.10077728938763,-0.264446437286014
Vendor1,Product10,88.81699724000254,10,86.23422152178821,95.2006802117781,28.508542011761026,-0.4107718760234392
Vendor1,Product11,77.72816832882906,5,95.5026564672223,99.39498941564189,43.4775760683889,-0.4771317131941483
Vendor1,Product12,139.68499682166276,10,80.90454577821076,93.25330330763265,21.713123456647725,-0.22940654085782825
Vendor1,Product13,90.70235476608438,14,91.73502331327697,99.65255307264138,31.102472650527442,-0.3349258563173963
Vendor1,Product14,91.3998773033815,14,96.0439396150808,90.74550643679771,47.436138273822245,-0.2942951042929426
Vendor1,Product15,165.8367153944986,10,85.86976349436077,90.14079822715084,13.550223375818621,-0.14037418995064338
Vendor1,Product16,156.7012929122975,7,95.42540693371892,90.7404465173409,20.41402632740372,-0.1920071707585388
Vendor1,Product17,67.38035892876945,3,92.46596253655116,93.3089802485265,7.733009062299017,-0.6350022765955053
Vendor1,Product18,96.64734825734934,14,94.59212356676127,96.37557471355213,43.15014793078204,-0.28190942178943257
Vendor1,Product19,120.83223877429239,14,99.43424190778208,98.48913824266084,36.03436941008955,-0.1958192817572306
Vendor1,Product20,85.39773796234337,7,90.45465658763987,94.27541018358549,6.093022449996093,-0.5137293192513298
Vendor1,Product21,66.18371404899567,3,86.28711962152653,95.08570691164702,44.025358378822,-0.5606785233340579
Vendor1,Product22,87.39383437233124,14,90.79682182603347,92.03061224734769,45.54270353399318,-0.31932717750516953
Vendor1,Product23,139.8298199732804,7,83.22442574508008,99.29697652342573,39.74917632126993,-0.22245031359818926
Vendor1,Product24,145.0105634765635,10,96.07344153798229,91.86570058886036,43.38003693506904,-0.14324100895779027
Vendor1,Product25,130.9013362873476,5,82.44175909401346,93.56297838076975,43.99362298646742,-0.2792158351389086
Vendor1,Product26,90.8198374076953,7,88.54215577252512,98.18014765922493,42.011415080022765,-0.40846990789599236
Vendor1,Product27,51.04281957967861,7,88.34822006297559,92.2210781047073,10.15421079534836,-0.6448379712871334
Vendor1,Product28,100.6422757105442,7,86.4640586404151,95.18790621743366,35.22981523249265,-0.38852553497371894
Vendor1,Product29,104.5444403568941,3,85.07830827868689,92.46876062838601,34.9410837321109,-0.4308791226955649
Vendor1,Product30,156.8405884886663,14,85.69680988754935,90.36886947354533,31.211266361135564,-0.0807999680230231
Vendor1,Product31,125.40185348432922,14,86.90142496053366,96.34351344701363,34.27033441685497,-0.19524885922316593
Vendor1,Product32,129.64018749757045,5,99.71300908221201,92.42055271511501,33.901828538452776,-0.2910296825566336
Vendor1,Product33,164.24294229930763,7,84.84319876554852,98.03139756379896,25.22292728117965,-0.15759381526526312
Vendor1,Product34,197.51347113422645,7,96.32863746438768,97.98345124984552,11.480854390513468,-0.045008543431786265
Vendor1,Product35,126.2298165111078,14,97.1671760962744,93.25958905201885,14.470365045318577,-0.22925965857673014
Vendor1,Product36,156.67242986570267,7,86.97331974583459,90.9617655109142,45.44250037305297,-0.14225829704148266
Vendor1,Product37,109.63580316312834,5,96.75420211814657,96.75690117039281,36.6142931273532,-0.36552979544733916
Vendor1,Product38,81.36074311065705,5,85.15883255430312,96.5998404603418,40.14055460865228,-0.48210332748004886
Vendor1,Product39,133.28012173991937,10,85.21658349660818,99.96253699757924,46.51303210541813,-0.18968518046149993
Vendor1,Product40,133.74401804106463,7,83.77414216682759,92.78871352592182,35.11538668882916,-0.2602741913632213
Vendor1,Product41,176.99917133574587,10,97.74172848530235,97.79875545857624,32.60736078463437,-0.03570449837245183
Vendor1,Product42,62.62099474925732,10,97.97108377054158,96.0642905965959,5.3954732195150745,-0.5571385413179227
Vendor1,Product43,65.22073142990482,7,99.47327673510634,92.83920974737465,18.130645994808916,-0.5581423520916933
Vendor1,Product44,122.842063037934,7,93.03922519005201,92.2426930946056,35.62370651794404,-0.29370779943070097
Vendor1,Product45,85.58736312452001,14,83.57645418442658,93.6646878458286,36.99933249143218,-0.3528246970889229
Vendor1,Product46,158.1409886378194,3,90.85080461109798,95.0881407683876,32.362302581993504,-0.21540790863484105
Vendor1,Product47,87.56927279083763,14,89.7348430591891,99.06098787718554,23.67895771694843,-0.36701813528782473
Vendor1,Product48,102.51176115420135,3,91.53807769252718,94.92517693818864,13.395448475315913,-0.48142799044176854
Vendor1,Product49,158.3678172892258,7,91.44008398418366,97.6855401430631,6.874962185440651,-0.2173400450664837
Vendor1,Product50,199.18257661960115,14,85.59120683593517,98.8349402226626,37.1519072775888,0.10651086081541247
Vendor1,Product51,192.96077705359298,14,88.56368296634629,99.6665481904367,46.435659014837874,0.10660206298486184
Vendor1,Product52,177.951418320104,14,87.7019545720385,98.51136671516856,18.62764622171994,-0.019544488274333395
Vendor1,Product53,75.42391200291388,3,87.89382933618944,98.44213140726312,44.99072389686577,-0.5181877734674402
Vendor1,Product54,60.56241962743158,5,92.3001445339834,99.90053850104263,11.023612655170533,-0.6242187789093893
Vendor1,Product55,127.74944785456051,5,86.45101528477201,98.48669794924675,10.874717252007239,-0.3623729839054324
Vendor1,Product56,156.3366495365178,14,85.93020287295597,94.19780856446276,16.016898574561697,-0.11600360033929563
Vendor1,Product57,141.7270566298521,10,90.22684797721875,95.015162946872,39.32669269557133,-0.1700732806787139
Vendor1,Product58,147.49458961666477,10,97.7323429790132,90.27616771873704,29.891190506825023,-0.1638101796896579
